kernel,label,m,rep,eps_m,I_star,regret_robust,regret_plugin_greedy,regret_plugin_exhaustive,diff_robust_minus_plugin,robust_wins,tie,same_protocol
trait_ou,mean,50,7,0.39657892358299784,0.6907252995047104,0.022073528841416334,0.14089060593046698,0.031157011141005775,-0.11881707708905065,1,0,0
trait_ou,mean,50,8,0.17237682868883641,0.6907252995047104,0.02317541442590476,0.0,0.04408576149946608,0.02317541442590476,0,0,0
trait_ou,mean,50,9,0.16385295620210893,0.6907252995047104,0.007150820228128185,0.007150820228128185,0.0192301355874116,0.0,0,1,1
trait_ou,mean,50,10,0.12147716159010002,0.6907252995047104,0.04432180560982513,0.022073528841416445,0.022073528841416445,0.02224827676840868,0,0,0
trait_ou,mean,50,11,0.11402408726854751,0.6907252995047104,0.0,0.0,0.0,0.0,0,1,1
trait_ou,mean,50,12,0.21318267218409642,0.6907252995047104,0.067103085839882,0.067103085839882,0.06940144452725572,0.0,0,1,1
trait_ou,mean,50,13,0.13997433448064378,0.6907252995047104,0.04906128599582782,0.0,0.029179799102833637,0.04906128599582782,0,0,0
trait_ou,mean,50,14,0.12122600146393014,0.6907252995047104,0.02781398409126945,0.006429936994737262,0.006429936994737262,0.02138404709653219,0,0,0
trait_ou,mean,50,15,0.17479559175627996,0.6907252995047104,0.02327881424052236,6.460355991932953e-05,6.460355991932953e-05,0.02321421068060303,0,0,0
trait_ou,mean,50,16,0.09587614780960196,0.6907252995047104,0.0,0.0,0.0034570449424917715,0.0,0,1,1
trait_ou,mean,50,17,0.20110466780480057,0.6907252995047104,0.022929268809470882,0.045612371544869856,0.07041357167703788,-0.022683102735398974,1,0,0
trait_ou,mean,50,18,0.16822954138805324,0.6907252995047104,0.015931674496338588,0.0,0.0034570449424917715,0.015931674496338588,0,0,0
trait_ou,mean,50,19,0.1957334960904059,0.6907252995047104,0.0,0.0,0.0,0.0,0,1,1
trait_ou,mean,50,20,0.22255817250925924,0.6907252995047104,0.0792609654192672,0.05335378247474232,0.006429936994737484,0.025907182944524876,0,0,0
trait_ou,mean,50,21,0.11048889341866497,0.6907252995047104,0.02782006397919745,0.042852859844659696,0.014335910833008558,-0.015032795865462245,1,0,0
trait_ou,mean,50,22,0.1350137326740507,0.6907252995047104,0.07072061450473133,0.017857376384350587,0.017857376384350587,0.05286323812038074,0,0,0
trait_ou,mean,50,23,0.15041311989567469,0.6907252995047104,0.013183901743084814,0.01482039542407887,6.460355991932953e-05,-0.0016364936809940556,1,0,0
trait_ou,mean,50,24,0.15381648442619267,0.6907252995047104,0.029245541514213547,0.032072885935650164,0.029245541514213547,-0.0028273444214366172,1,0,0
trait_ou,mean,50,25,0.18285059855806213,0.6907252995047104,0.0067132857639981,0.0067132857639981,0.0067132857639981,0.0,0,1,1
trait_ou,mean,50,26,0.128600267646512,0.6907252995047104,0.029328021304008245,6.460355991932953e-05,6.460355991932953e-05,0.029263417744088915,0,0,0
