alpha,label,protocol,model,n_train,n_train_used,is_reference,seed_index,seed_key,r2_test,r2_bayes_test,r2_best_linear_test,hyperparameter,ceiling,label_variance,ceiling_best_linear,r2_class_reference,protocol_gap,approximation_gap,estimation_gap,protocol_gap_paired,approximation_gap_paired,approximation_gap_exact_linear,ceiling_utilization,absolute_gap,protocol_share_of_residual
0.0,mean,same_time,mlp,1000,1000,0,0,"[20260802, 0, 0]",0.077245744995873,0.09102840857111061,0.09102840857095873,weight_decay=1,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.09040387888808588,0.9062709917195343,0.003325129392379833,0.013158133892212875,0.9089715914288894,0.0006245296830247327,nan,0.8241391476663258,0.01648326328459271,0.9821368872641839
0.0,mean,same_time,ridge,2500,2500,0,0,"[20260802, 0, 0]",0.08924371813054033,0.09102840857111061,0.09102840857095873,cv-alpha,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.09063130305090472,0.9062709917195343,0.0030977052295609875,0.001387584920364393,0.9089715914288894,0.0003971055202058871,-8.331474399270178e-12,0.952146190040718,0.0044852901499253806,0.9950752026209265
0.0,mean,same_time,gp,2500,1500,0,0,"[20260802, 0, 0]",0.07196793337077345,0.09102840857111061,0.09102840857095873,reg=0.01,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.08791552720452045,0.9062709917195343,0.005813481075945259,0.015947593833746998,0.9089715914288894,0.003112881366590159,nan,0.7678298820299421,0.021761074909692257,0.9765513760868929
0.0,mean,same_time,mlp,2500,2500,0,0,"[20260802, 0, 0]",0.08820405143039967,0.09102840857111061,0.09102840857095873,weight_decay=0.1,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.09040387888808588,0.9062709917195343,0.003325129392379833,0.00219982745768621,0.9089715914288894,0.0006245296830247327,nan,0.9410539282189598,0.005524956850066043,0.9939405775395982
0.0,mean,same_time,ridge,5000,5000,0,0,"[20260802, 0, 0]",0.08868999956284696,0.09102840857111061,0.09102840857095873,cv-alpha,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.09063130305090472,0.9062709917195343,0.0030977052295609875,0.0019413034880577662,0.9089715914288894,0.0003971055202058871,-8.331474399270178e-12,0.9462385358592453,0.005039008717618754,0.9944705877086814
0.0,mean,same_time,gp,5000,1500,0,0,"[20260802, 0, 0]",0.08516659949099847,0.09102840857111061,0.09102840857095873,reg=0.3,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.08791552720452045,0.9062709917195343,0.005813481075945259,0.002748927713521976,0.9089715914288894,0.003112881366590159,nan,0.9086471846171048,0.008562408789467235,0.9906404720414632
0.0,mean,same_time,mlp,5000,5000,0,0,"[20260802, 0, 0]",0.0882527590169343,0.09102840857111061,0.09102840857095873,weight_decay=0.001,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.09040387888808588,0.9062709917195343,0.003325129392379833,0.0021511198711515744,0.9089715914288894,0.0006245296830247327,nan,0.9415735921674877,0.0054762492635314075,0.9939936760788803
0.0,mean,same_time,ridge,20000,20000,1,0,"[20260802, 0, 0]",0.09063130305090472,0.09102840857111061,0.09102840857095873,cv-alpha,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.09063130305090472,0.9062709917195343,0.0030977052295609875,0.0,0.9089715914288894,0.0003971055202058871,-8.331474399270178e-12,0.9669504106957826,0.0030977052295609875,0.996593565140351
0.0,mean,same_time,gp,20000,1500,1,0,"[20260802, 0, 0]",0.08791552720452045,0.09102840857111061,0.09102840857095873,reg=0.1,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.08791552720452045,0.9062709917195343,0.005813481075945259,0.0,0.9089715914288894,0.003112881366590159,nan,0.9379756472131919,0.005813481075945259,0.9936261593642447
0.0,mean,same_time,mlp,20000,20000,1,0,"[20260802, 0, 0]",0.09040387888808588,0.09102840857111061,0.09102840857095873,weight_decay=0.01,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.09040387888808588,0.9062709917195343,0.003325129392379833,0.0,0.9089715914288894,0.0006245296830247327,nan,0.9645240096595279,0.003325129392379833,0.9963443892127474
0.0,mean,dispersed,ridge,100,100,0,0,"[20260802, 0, 0]",0.3278939487973008,0.36774784182099474,0.36774784182126696,cv-alpha,0.36242539370674215,0.09521352791540096,0.3624253937235382,0.36734386498170835,0.6375746062932579,-0.004918471274966196,0.03944991618440752,0.6322521581790053,0.0004039768392863907,-1.6796064539192912e-11,0.9047212322617146,0.03453144490944132,0.9486220294436436
0.0,mean,dispersed,gp,100,100,0,0,"[20260802, 0, 0]",0.31292642748125077,0.36774784182099474,0.36774784182126696,reg=0.3,0.36242539370674215,0.09521352791540096,0.3624253937235382,0.34577081234813634,0.6375746062932579,0.016654581358605813,0.03284438486688557,0.6322521581790053,0.0219770294728584,nan,0.8634230186818983,0.04949896622549138,0.9279568183010843
0.0,mean,dispersed,mlp,100,100,0,0,"[20260802, 0, 0]",0.12099668258156127,0.36774784182099474,0.36774784182126696,weight_decay=0.01,0.36242539370674215,0.09521352791540096,0.3624253937235382,0.36686716302673195,0.6375746062932579,-0.004441769319989797,0.24587048044517068,0.6322521581790053,0.0008806787942627903,nan,0.3338526623205276,0.24142871112518088,0.7253381115395136
