config,cid,arm,m,rep,label,I_true_ref,I_hat_ref,ref_err,uniform_err,k_err,r_eff,nu2_used,ci_lo,ci_hi,ci_width,covered,bound,bound_ratio,bound_lt_one,small_pert_ok
ou_alpha0_nu0,4,known,100,179,occ_c1,0.2131886770478779,0.24890617665301162,0.035717499605133735,0.12202637941387029,5.847221630478284,8.834916741551812,0.0,0.19666573565038623,0.31331777657763266,0.11665204092724643,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,182,mean,0.26799418107294054,0.1895160048207524,-0.07847817625218814,0.17983209623368077,6.2186983442226715,7.886276943838703,0.0,0.09756047706255726,0.29408475038827003,0.19652427332571276,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,182,sigmoid,0.26258063840905604,0.18553462690811018,-0.07704601150094587,0.17578620557889663,6.2186983442226715,7.886276943838703,0.0,0.09568908817516905,0.28879069109891353,0.19310160292374448,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,182,occ_c0,0.24401651828426504,0.17161371194922712,-0.07240280633503793,0.16276841776427517,6.2186983442226715,7.886276943838703,0.0,0.08832394894742195,0.26917679044902987,0.1808528415016079,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,182,occ_c1,0.2131886770478779,0.15628352508881532,-0.056905151959062567,0.1258197504006421,6.2186983442226715,7.886276943838703,0.0,0.0989546478796537,0.23679794909983318,0.13784330122017946,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,183,mean,0.26799418107294054,0.23067536903672015,-0.037318812036220395,0.15346169542964957,5.605070787393016,7.971137125749627,0.0,0.15702250052071612,0.34430786691594517,0.18728536639522905,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,183,sigmoid,0.26258063840905604,0.22649250079847844,-0.03608813761057761,0.14987573511420965,5.605070787393016,7.971137125749627,0.0,0.1541901559689812,0.33871816553823186,0.18452800956925067,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,183,occ_c0,0.24401651828426504,0.21175927562305866,-0.03225724266120639,0.13820997511311806,5.605070787393016,7.971137125749627,0.0,0.14375970832922688,0.31948591699944556,0.17572620867021868,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,183,occ_c1,0.2131886770478779,0.1928086205850969,-0.020380056462780988,0.11269327474666324,5.605070787393016,7.971137125749627,0.0,0.1375902770993166,0.28325987352177034,0.14566959642245375,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,180,mean,0.26799418107294054,0.3432517350296458,0.07525755395670525,0.135209245574876,4.6229950312736685,9.118878785981902,0.0,0.27743841337699504,0.4439447986871554,0.16650638531016038,0,inf,inf,0,0
