p,d_obs,n_directions,eps,ceiling_gap,observed_discrepancy,I_plus,I_minus
8,1,26,0.39525158191155796,0.023066076014915175,2.7755575615628914e-17,0.02504114323496233,0.001975067220047155
8,1,26,0.3639611106677514,0.31341611359789456,5.551115123125783e-17,0.6074220388112497,0.2940059252133551
8,1,26,0.3982709518883361,0.3276492018824946,1.3877787807814457e-17,0.16234543017524045,0.489994632057735
8,1,26,0.23211151819500503,0.16176280806027854,1.3877787807814457e-17,0.22756343918305622,0.38932624724333476
8,1,26,0.10482773392741028,0.07053814569738248,2.7755575615628914e-17,0.2908364431487052,0.22029829745132273
8,1,26,0.4855520588564191,0.21330198944189918,1.3877787807814457e-17,0.1481503588195124,0.3614523482614116
8,1,26,0.4289695361938996,0.14242650296503526,2.0816681711721685e-17,0.14593603027609703,0.00350952731106178
8,1,26,0.3879377878664857,0.2588624488777882,2.7755575615628914e-17,0.3249652763448567,0.5838277252226449
8,1,26,0.15381361650158323,0.05943356352906515,0.0,0.1489752633856066,0.20840882691467175
8,1,26,0.22293534771652626,0.1266203731027122,1.3877787807814457e-17,0.1684792226418285,0.2950995957445407
8,1,26,0.2311876462077268,0.028672268800173116,0.0,0.0007640214957693746,0.02943629029594249
8,1,26,0.6311859919587658,0.2641993527461995,4.85722573273506e-17,0.2966789911465519,0.03247963840035241
8,1,26,0.1455697204124647,0.003497948094830086,4.163336342344337e-17,4.8451429482195265e-05,0.003546399524312281
8,1,26,0.15346516929135484,0.07930697164358302,0.0,0.18584385912539997,0.265150830768983
8,1,26,0.26550301423247347,0.3861029079611987,6.938893903907228e-18,0.7184331580281409,0.33233025006694217
8,1,26,0.15345643316067561,0.1080678054293431,2.7755575615628914e-17,0.3557595268480002,0.2476917214186571
8,1,26,0.39822655556625886,0.08650479140725512,2.7755575615628914e-17,0.10189157968530371,0.015386788278048603
8,1,26,0.6197842480455006,0.3638817165995254,0.0,0.40335024814760256,0.039468531548077154
8,1,26,0.16893492358575318,0.09521260982210938,1.3877787807814457e-17,0.5149916853276804,0.419779075505571
8,1,26,0.41718178349154433,0.008725437237699543,2.0816681711721685e-17,0.015677814930396577,0.02440325216809612
8,1,26,0.14893086105084852,0.037716449981331446,1.3877787807814457e-17,0.16376186479539062,0.12604541481405918
8,1,26,0.22840376180867533,0.15613518037983048,2.7755575615628914e-17,0.09865620208820425,0.25479138246803473
8,1,26,0.2525523120962741,0.1906989380412722,2.7755575615628914e-17,0.056454584376027045,0.24715352241729924
8,1,26,0.1914015732110633,0.19264703341085737,2.7755575615628914e-17,0.5720617591912941,0.3794147257804367
8,1,26,0.25460810083734897,0.06928759716428402,2.7755575615628914e-17,0.0736836333056307,0.004396036141346679
8,1,26,0.29880791411622454,0.24741568176924372,0.0,0.35126288845597414,0.5986785702252179
8,1,26,0.38741179646531243,0.08087939457591815,1.3877787807814457e-17,0.08336418209158773,0.0024847875156695813
8,1,26,0.4743269853110368,0.3573669206918426,5.551115123125783e-17,0.373679398663619,0.016312477971776384
8,1,26,0.47174171386776687,0.30448636735727386,0.0,0.3174622034731065,0.6219485708303804
8,1,26,0.35256348407397,0.006351215871716005,0.0,0.01642891407096811,0.010077698199252104
8,1,26,0.21777665672258886,0.028570675200816006,6.938893903907228e-18,0.04868952869077742,0.07726020389159342
8,1,26,0.18802000848374195,0.09044213663700396,5.551115123125783e-17,0.16391836353747108,0.25436050017447503
8,1,26,0.278896860212,0.3040788851110978,4.163336342344337e-17,0.44324318651070754,0.1391643013996097
8,1,26,0.3265673628324942,0.254885438358066,2.7755575615628914e-17,0.053096512754248426,0.3079819511123144
8,1,26,0.22616834615656412,0.18503965841936848,5.551115123125783e-17,0.03822254844317939,0.22326220686254786
8,1,26,0.15628178032288798,0.13646074198961322,6.938893903907228e-18,0.22453604142680766,0.3609967834164209
8,1,26,0.31983135807277446,0.15681962491523493,0.0,0.22243621357631602,0.06561658866108107
8,1,26,0.19977259428908536,0.09601048298444181,2.7755575615628914e-17,0.24369006601641194,0.14767958303197012
8,1,26,0.29145873346693085,0.09460510738251682,0.0,0.11807634585528046,0.21268145323779727
8,1,26,0.40380089404943825,0.12541911442418896,2.7755575615628914e-17,0.3943693976020913,0.2689502831779023
8,1,26,0.29503476345600504,0.19248007551673368,1.3877787807814457e-17,0.2794675987174494,0.4719476742341831
8,1,26,0.41636991278988816,0.17827199122852128,5.551115123125783e-17,0.0545312822110564,0.23280327343957768
8,1,26,0.31845158050079875,0.10695604141306121,2.7755575615628914e-17,0.012159322482851159,0.11911536389591237
8,1,26,0.4605346918973309,0.3855331553463534,2.7755575615628914e-17,0.5720743149308405,0.18654115958448708
8,1,26,0.27531801221068614,0.3562478839662312,1.3877787807814457e-17,0.3437577503238921,0.7000056342901233
8,1,26,0.40480416070810465,0.020762120561349018,0.0,0.011654827432892005,0.032416947994241024
8,1,26,0.2615749595861944,0.04843634967144683,0.0,0.05301807640454719,0.004581726733100361
8,1,26,0.32401119610217355,0.3384322004032168,2.7755575615628914e-17,0.5645466587768226,0.22611445837360583
8,1,26,0.45617252788739304,0.2741737588841139,5.551115123125783e-17,0.45080723598324934,0.17663347709913543
8,1,26,0.1667712863893901,0.048991376250814234,1.3877787807814457e-17,0.19169327132991928,0.24068464758073352
8,1,26,0.2138556666510788,0.12282399386200005,2.7755575615628914e-17,0.15357199069462463,0.2763959845566247
8,1,26,0.35315734122309667,0.1833488986974569,5.551115123125783e-17,0.2042044002535414,0.020855501556084486
8,1,26,0.42133131019973674,0.12311819800732952,2.7755575615628914e-17,0.1383783116585801,0.015260113651250583
8,1,26,0.5524323753232844,0.13887422139546826,3.469446951953614e-17,1.2327910578811393e-05,0.13888654930604707
8,1,26,0.12992161927287918,0.06550632960957253,2.7755575615628914e-17,0.19271750163035814,0.1272111720207856
8,1,26,0.3860916621998851,0.23931238604912264,2.7755575615628914e-17,0.052114347566544636,0.2914267336156673
8,1,26,0.26492593272718906,0.14562262773457846,6.938893903907228e-18,0.40465295652374367,0.2590303287891652
8,1,26,0.2828885776585429,0.1453276513606698,2.7755575615628914e-17,0.2005785467327805,0.3459061980934503
8,1,26,0.197040854486524,0.27338498496399,1.3877787807814457e-17,0.41020256167755975,0.6835875466415497
8,1,26,0.3069397013274925,0.216937301298993,2.7755575615628914e-17,0.2232376268955685,0.4401749281945615
8,1,26,0.25436806871028783,0.011245689240784701,0.0,0.013182238720075639,0.0019365494792909373
8,1,26,0.11473662928828773,0.16393526931237,0.0,0.5143427053053118,0.6782779746176818
8,1,26,0.2544383355935032,0.1694397605948262,2.7755575615628914e-17,0.36097653185501627,0.19153677126019006
8,1,26,0.3328055289196256,0.19781327725102538,5.551115123125783e-17,0.05274932152697054,0.2505625987779959
8,1,26,0.28838874655202573,0.054079098501056765,2.7755575615628914e-17,0.09101099535324551,0.03693189685218875
8,1,26,0.3214100266438768,0.23048836811304677,0.0,0.4599173339279028,0.22942896581485603
8,1,26,0.21371481812023882,0.1003830653291515,2.7755575615628914e-17,0.284286854096182,0.18390378876703048
8,1,26,0.20053709189766503,0.008496693792330121,1.3877787807814457e-17,0.012783866520356317,0.0042871727280261954
8,1,26,0.3263943702437547,0.31299103146847634,4.163336342344337e-17,0.37641878060389805,0.6894098120723744
8,1,26,0.621810139441916,0.4415343528636768,1.3877787807814457e-17,0.1322475412578915,0.5737818941215683
8,1,26,0.23417467453624682,0.027590660492504276,2.7755575615628914e-17,0.03351890435881309,0.005928243866308817
