label,m,rep,selected_level,adaptive_regret,theorem_bound,bound_satisfied,selected_level_oracle,adaptive_regret_oracle,theorem_bound_oracle,bound_satisfied_oracle,eps_boot_valid,eps_boot_L1,eps_boot_L2,eps_boot_L3,eps_boot_L4,eps_true_L1,eps_true_L2,eps_true_L3,eps_true_L4,regret_fixed_L1,regret_fixed_L2,regret_fixed_L3,regret_fixed_L4
mean,100,1,3,0.020908694686833207,0.24504474457392225,True,1,0.037357067230144314,0.14955783699275904,True,True,0.10384383867188897,0.11641262854342435,0.12503266196527626,0.15709691206242768,0.056100384881307364,0.08499571152949714,0.08499571152949714,0.15207125494423296,0.037357067230144314,0.037357067230144314,0.020908694686833207,0.015346849705819898
mean,100,2,4,0.04901603305723157,0.21644266637492274,True,1,0.037357067230144314,0.06255305720088133,True,True,0.08954279957238921,0.11310533904517127,0.12944347425520716,0.15176222082729288,0.01259799498536851,0.052612910464300944,0.11987922032718162,0.11987922032718162,0.037357067230144314,0.037357067230144314,0.049815366167874964,0.04901603305723157
mean,100,3,2,0.09771083735385,0.21181794844872426,True,4,0.025231741916855954,0.11958233191730672,True,True,0.08723044060928997,0.09315518295815545,0.13984004005661688,0.15304166240846998,0.0411126323435812,0.07696243558130722,0.1089811020012601,0.1089811020012601,0.037357067230144314,0.09771083735385,0.045914163989200674,0.025231741916855954
mean,100,4,4,0.039603092429607134,0.2538360949093833,True,3,0.055467857709667556,0.2622272495828052,True,False,0.1082395138396195,0.14038262448890773,0.14443477392716433,0.1606102185148721,0.11996348305354809,0.11996348305354809,0.12303119039269111,0.1920155048039195,0.037357067230144314,0.037357067230144314,0.055467857709667556,0.039603092429607134
mean,100,5,3,0.0245256835944887,0.26270452895512,True,3,0.0245256835944887,0.1440998591087349,True,True,0.11267373086248782,0.11345862813962741,0.13782154804484223,0.1868713123808352,0.053371395939295296,0.06883380889491525,0.06883380889491525,0.1299949130128551,0.037357067230144314,0.037357067230144314,0.0245256835944887,0.01877194964526485
mean,100,6,3,0.020908694686833207,0.1894442386483225,True,3,0.020908694686833207,0.09857500522845031,True,True,0.07604358570908909,0.10597336547642966,0.12925858977913737,0.14086723343711632,0.030608968999152997,0.05257127536456668,0.09251905628379525,0.09251905628379525,0.037357067230144314,0.06962668007635997,0.020908694686833207,0.020908694686833207
mean,100,7,4,0.015259224710252539,0.2102344141962843,True,4,0.015259224710252539,0.15096342046988143,True,True,0.08643867348307,0.10444422590661813,0.13019956633783888,0.15045308346803182,0.056803176619868556,0.06600241697691589,0.08668399342854899,0.13214873887213363,0.037357067230144314,0.037357067230144314,0.0223642176848442,0.015259224710252539
mean,100,8,3,0.017039379067798843,0.23285697708261321,True,3,0.017039379067798843,0.16602040236942928,True,True,0.09774995492623445,0.11973432089329233,0.13657203728770667,0.15883674255066824,0.07079249119629705,0.07079249119629705,0.07492776678600316,0.14431368045980925,0.037357067230144314,0.06962668007635997,0.017039379067798843,0.017039379067798843
mean,100,9,3,0.01616486879742296,0.19773012844204127,True,3,0.01616486879742296,0.09979964958068022,True,True,0.08018653060594848,0.1079650509733519,0.1257824006693155,0.142924801381744,0.03122129117526795,0.06836819527959737,0.07012669651407977,0.08736510766416261,0.037357067230144314,0.037357067230144314,0.01616486879742296,0.01616486879742296
mean,100,10,1,0.037357067230144314,0.22895956136581774,True,1,0.037357067230144314,0.31375589525977055,True,False,0.09580124706783671,0.12595038323685154,0.14229941696025802,0.196209440333803,0.13819941401481312,0.16575763434657953,0.20876395531894432,0.2385418338031661,0.037357067230144314,0.037357067230144314,0.01825882669547163,0.025994791348137092
mean,100,11,1,0.037357067230144314,0.18744815413949245,True,4,0.011423550769082746,0.21609391422897084,True,False,0.07504554345467407,0.09770862814519894,0.13493548730377666,0.16025577639261376,0.09996452271577394,0.09996452271577394,0.09996452271577394,0.14916045568225922,0.037357067230144314,0.037357067230144314,0.037357067230144314,0.011423550769082746
mean,100,12,3,0.037451703381569335,0.20798421040853513,True,3,0.037451703381569335,0.17849846506298794,True,False,0.0853135715891954,0.1061736327557357,0.12035913401782498,0.15440779750827216,0.07057069891642181,0.10393963174328935,0.11680655903986276,0.18005615913123785,0.037357067230144314,0.06962668007635997,0.037451703381569335,0.033777428052732095
mean,100,13,4,0.01679455074048508,0.1761002787690727,True,4,0.01679455074048508,0.1382472048179032,True,False,0.06937160576946419,0.09513227149006788,0.132099648348537,0.15292833912009482,0.050445068793879444,0.13813254072848274,0.13813254072848274,0.13813254072848274,0.037357067230144314,0.037357067230144314,0.01825882669547163,0.01679455074048508
