alpha,label,protocol,model,seed_index,seed_key,n_subjects_train,n_subjects_test,n_horizons,r2_total,r2_between,r2_within,within_squared_corr,bayes_r2_total,bayes_r2_between,bayes_r2_within,bayes_within_squared_corr,hyperparameter
0.35,mean,same_time,mlp,7,"[20260802, 777, 7]",2500,5000,2,0.3701228728332856,0.47664900964778323,-1.0012797523481543,0.08949859263377054,0.3722614302696051,0.4738125592206045,-0.9350936376801211,0.09072408895408839,weight_decay=0.001
0.35,mean,dispersed,ridge,7,"[20260802, 777, 7]",2500,5000,2,0.7364352198742372,0.8271099221566766,-0.4308982483827215,0.2873674534276828,0.737024688136751,0.8263340272370263,-0.41273128497827316,0.287263444603793,cv-alpha
0.35,mean,dispersed,gp,7,"[20260802, 777, 7]",2500,5000,2,0.7231694081176201,0.8095409929724988,-0.38876632665260713,0.2772620860793878,0.737024688136751,0.8263340272370263,-0.41273128497827316,0.287263444603793,reg=1
0.35,mean,dispersed,mlp,7,"[20260802, 777, 7]",2500,5000,2,0.7342549085065502,0.8251541438793635,-0.4359691674339965,0.28550756412951045,0.737024688136751,0.8263340272370263,-0.41273128497827316,0.287263444603793,weight_decay=0.01
0.35,occupation,same_time,ridge,8,"[20260802, 777, 8]",2500,5000,2,0.33528779850801915,0.44735644348130066,-0.7719695579092123,0.06006479573646987,0.3378969530850561,0.45005456922658815,-0.7702394536729533,0.06366734138539237,cv-alpha
0.35,occupation,same_time,gp,8,"[20260802, 777, 8]",2500,5000,2,0.3335547932513816,0.45097564252636135,-0.8265832559547754,0.06165574254268012,0.3378969530850561,0.45005456922658815,-0.7702394536729533,0.06366734138539237,reg=1
0.35,occupation,same_time,mlp,8,"[20260802, 777, 8]",2500,5000,2,0.3369654935355898,0.4489020287687471,-0.7689865960816198,0.06456095450738178,0.3378969530850561,0.45005456922658815,-0.7702394536729533,0.06366734138539237,weight_decay=0.001
0.35,occupation,dispersed,ridge,8,"[20260802, 777, 8]",2500,5000,2,0.6864819127123833,0.7835793094634522,-0.2728569538119314,0.2467727680777515,0.6978979842640514,0.7968780376545012,-0.2800418514614085,0.2626888469453444,cv-alpha
0.35,occupation,dispersed,gp,8,"[20260802, 777, 8]",2500,5000,2,0.6886793228007753,0.7813194250406719,-0.22662071253761518,0.2592797264348533,0.6978979842640514,0.7968780376545012,-0.2800418514614085,0.2626888469453444,reg=3
0.35,occupation,dispersed,mlp,8,"[20260802, 777, 8]",2500,5000,2,0.6960631826112781,0.7942592578307514,-0.2741308148621784,0.2593615301291605,0.6978979842640514,0.7968780376545012,-0.2800418514614085,0.2626888469453444,weight_decay=0.01
0.35,mean,same_time,ridge,8,"[20260802, 777, 8]",2500,5000,2,0.3582228129477576,0.4704559992854679,-0.9878267486426802,0.0867633682064845,0.35861793371891126,0.4680424103390902,-0.9537458473347278,0.08676336820648446,cv-alpha
0.35,mean,same_time,gp,8,"[20260802, 777, 8]",2500,5000,2,0.354341055935512,0.46413131659536633,-0.9624096935568562,0.08481548007998205,0.35861793371891126,0.4680424103390902,-0.9537458473347278,0.08676336820648446,reg=3
0.35,mean,same_time,mlp,8,"[20260802, 777, 8]",2500,5000,2,0.3580617339733727,0.46863320976501566,-0.9680583858448784,0.08696610283584498,0.35861793371891126,0.4680424103390902,-0.9537458473347278,0.08676336820648446,weight_decay=0.01
0.35,mean,dispersed,ridge,8,"[20260802, 777, 8]",2500,5000,2,0.7162273671964413,0.8105676265550196,-0.4152264290794552,0.30108975649049796,0.7174885594068529,0.8106686972458299,-0.4000515174620938,0.30173172230325845,cv-alpha
0.35,mean,dispersed,gp,8,"[20260802, 777, 8]",2500,5000,2,0.7064132172654698,0.80221311122683,-0.44254645745216536,0.2899480791739494,0.7174885594068529,0.8106686972458299,-0.4000515174620938,0.30173172230325845,reg=1
0.35,mean,dispersed,mlp,8,"[20260802, 777, 8]",2500,5000,2,0.7164820198814084,0.8100821675600355,-0.4060953733016581,0.30122504600653816,0.7174885594068529,0.8106686972458299,-0.4000515174620938,0.30173172230325845,weight_decay=0.01
0.35,occupation,same_time,ridge,9,"[20260802, 777, 9]",2500,5000,2,0.3570626183558414,0.45948340949837463,-0.6662435419152302,0.06757156829043928,0.3593009390582256,0.46523395217843244,-0.6990965180667361,0.07030498158058117,cv-alpha
0.35,occupation,same_time,gp,9,"[20260802, 777, 9]",2500,5000,2,0.35476438859001747,0.45684689482950447,-0.66516190103807,0.06807398846849477,0.3593009390582256,0.46523395217843244,-0.6990965180667361,0.07030498158058117,reg=0.1
0.35,occupation,same_time,mlp,9,"[20260802, 777, 9]",2500,5000,2,0.3588913300293005,0.45947908094851975,-0.6461005667839588,0.07013038500203538,0.3593009390582256,0.46523395217843244,-0.6990965180667361,0.07030498158058117,weight_decay=0.01
0.35,occupation,dispersed,ridge,9,"[20260802, 777, 9]",2500,5000,2,0.6840096920977194,0.7784601138422664,-0.2596629483224364,0.2396669223107545,0.6961426184354149,0.791003702145908,-0.25163302602184956,0.25504666162480927,cv-alpha
