config,kernel,alpha,nu2,arm,label,beta,m,n_rep,I_true_ref,bias,bias_se,rmse,sd,coverage,ci_width,uniform_err_mean,uniform_err_sd,uniform_err_median,uniform_err_q90,k_err_mean,r_eff_mean,r_eff_true,kappa,bound_mean,bound_ratio_median,bound_ratio_mean,bound_valid_frac,bound_nonvacuous_frac,small_pert_frac
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,occ_c1,0.5,500,200,0.20836523630016376,-0.0009642727055284487,0.0015285582640533527,0.021584517710738434,0.021617078279017262,nan,nan,0.0508903598745959,0.011022699436204717,0.050021462141348144,0.06646375678387235,2.770658453893436,9.604121673620863,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,occ_c1,0.5,1000,200,0.20836523630016376,-0.001703293219481798,0.0009913689731872357,0.014088324369853114,0.014020074471972779,nan,nan,0.03721562246455611,0.007355096650258736,0.0373740625939671,0.046824259416834955,1.996929697886257,9.854486348343984,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0.3_nu0.25,matern32,0.3,0.25,known,mean,1.0,25,200,0.6195355393978201,-0.06010486417458342,0.005804099690875381,0.10156978767599861,0.08208236500201453,nan,nan,0.2543997260042069,0.07900304752013432,0.24765454948194135,0.36203582934331857,15.882066553911873,3.2868727195745526,2.721009798623047,47.04135944853038,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0.3_nu0.25,matern32,0.3,0.25,known,mean,1.0,50,200,0.6195355393978201,-0.045122377656130565,0.0041149997023361695,0.07352373938285238,0.0581948838820506,nan,nan,0.19226098581208745,0.06398126658500984,0.18715013225676616,0.27997643009186585,11.913588406932176,3.181786844394261,2.721009798623047,47.04135944853038,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0.3_nu0.25,matern32,0.3,0.25,known,mean,1.0,100,200,0.6195355393978201,-0.04053552636931705,0.003298769979356607,0.061714047752531774,0.046651652439553284,nan,nan,0.13668900213655014,0.0408453310352347,0.13093699071871318,0.1921061165256955,8.841016090062237,3.0456741926090434,2.721009798623047,47.04135944853038,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0.3_nu0.25,matern32,0.3,0.25,known,mean,1.0,250,200,0.6195355393978201,-0.019720822368246013,0.0020468874635416506,0.03496670908553309,0.028947360115920667,nan,nan,0.08263418084314247,0.022113789990914647,0.07811769573476113,0.11357590847239868,5.275957852844268,2.885322342327443,2.721009798623047,47.04135944853038,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0.3_nu0.25,matern32,0.3,0.25,known,mean,1.0,500,200,0.6195355393978201,-0.01323672037187077,0.001388321675604545,0.02363833209257429,0.01963383342576488,nan,nan,0.05831400060965951,0.014506449176146822,0.056111109659640446,0.07815829129182059,3.7866571767464707,2.8176076200187663,2.721009798623047,47.04135944853038,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0.3_nu0.25,matern32,0.3,0.25,known,mean,1.0,1000,200,0.6195355393978201,-0.008985381622057462,0.001000081464018885,0.01672631181385081,0.014143287698934479,nan,nan,0.040618760746713264,0.009102845259844596,0.03871055561665193,0.053935120259161695,2.574634905041945,2.7868395498266567,2.721009798623047,47.04135944853038,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0.3_nu0.25,matern32,0.3,0.25,known,sigmoid,1.0,25,200,0.612195767804171,-0.05938118714233448,0.005753953884311657,0.10057143959239723,0.08137319620462896,nan,nan,0.2517693710958596,0.0779463919551267,0.2448500070184977,0.35773171473324694,15.882066553911873,3.2868727195745526,2.721009798623047,47.04135944853038,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0.3_nu0.25,matern32,0.3,0.25,known,sigmoid,1.0,50,200,0.612195767804171,-0.04411317300367516,0.0040848069600579314,0.07257007623489714,0.05776789402589941,nan,nan,0.19009331698992285,0.06309943424971359,0.18485375158739475,0.27667054061370333,11.913588406932176,3.181786844394261,2.721009798623047,47.04135944853038,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0.3_nu0.25,matern32,0.3,0.25,known,sigmoid,1.0,100,200,0.612195767804171,-0.03956776753670901,0.0032722743484138654,0.06079848954279402,0.04627694763332471,nan,nan,0.13510551829860884,0.04022701740394894,0.1290240092765292,0.18970079598365067,8.841016090062237,3.0456741926090434,2.721009798623047,47.04135944853038,inf,inf,inf,1.0,0.0,0.0
