label,budget,method,fold,r2_heldout,selection_score_train,r2_heldout_sd_over_draws,n_test_records,n_train_records,cost_epochs,runtime_s
REM,32,random,4,0.8318652022959233,0.647482502353173,0.06377547898445254,37,160,32.0,0.0
REM,32,imse,4,0.901821995905136,0.8466393786924006,nan,37,160,32.0,0.10041008300322574
REM,32,kernel_quadrature,4,0.8936603331395558,0.8785163865666769,nan,37,160,32.0,0.06250833399826661
REM,32,label_aware,4,0.6683744663869825,0.9300078939406194,nan,37,160,32.0,0.11398758400173392
REM,64,consecutive,4,0.9408304809530817,0.8594024818865644,nan,37,160,64.0,0.0
REM,64,uniform,4,0.8693508699498064,0.9062743632863901,nan,37,160,64.0,0.0
REM,64,random,4,0.8734907167077088,0.8600724251623418,0.025727144379734473,37,160,64.0,0.0
REM,64,imse,4,0.8928098614264426,0.9497484519261873,nan,37,160,64.0,0.10041008300322574
REM,64,kernel_quadrature,4,0.9014270766930258,0.9580150305550172,nan,37,160,64.0,0.06250833399826661
REM,64,label_aware,4,0.7984030854796815,0.9749647511267646,nan,37,160,64.0,0.22342270799708785
N3,4,consecutive,0,0.46239263597039215,0.23082964958153482,nan,42,155,4.0,0.0
N3,4,uniform,0,0.39183752695032215,0.14689694714951937,nan,42,155,4.0,0.0
N3,4,random,0,0.49636193307279974,0.22155635797465428,0.0667527189104158,42,155,4.0,0.0
N3,4,imse,0,0.5938408926736036,0.50892609407269,nan,42,155,4.0,0.06493416699959198
N3,4,kernel_quadrature,0,0.3585200435921314,0.5174612827784297,nan,42,155,4.0,0.06314520799787715
N3,4,label_aware,0,0.7113271411386035,0.5575213777274597,nan,42,155,4.0,0.015689083003962878
N3,8,consecutive,0,0.5282453415675084,0.29100303822915347,nan,42,155,8.0,0.0
N3,8,uniform,0,0.6394519556643378,0.37264932149907554,nan,42,155,8.0,0.0
N3,8,random,0,0.5931836638211154,0.341173056528675,0.10129418871318584,42,155,8.0,0.0
N3,8,imse,0,0.7382804874371619,0.5500541041613998,nan,42,155,8.0,0.06493416699959198
N3,8,kernel_quadrature,0,0.5309278695139033,0.6610654253935299,nan,42,155,8.0,0.06314520799787715
N3,8,label_aware,0,0.8130849848417729,0.757686717541202,nan,42,155,8.0,0.03494858400517842
N3,16,consecutive,0,0.55250466615276,0.3795441934515071,nan,42,155,16.0,0.0
N3,16,uniform,0,0.7630984097572394,0.6636800022119018,nan,42,155,16.0,0.0
N3,16,random,0,0.6709409620436985,0.5714938365686089,0.09661410967840343,42,155,16.0,0.0
N3,16,imse,0,0.8301564785397265,0.7948695497852496,nan,42,155,16.0,0.06493416699959198
N3,16,kernel_quadrature,0,0.8529614856431763,0.846968718291583,nan,42,155,16.0,0.06314520799787715
N3,16,label_aware,0,0.8677280347362909,0.9026338527329564,nan,42,155,16.0,0.12210625000443542
N3,32,consecutive,0,0.6889321604760006,0.5764722859930879,nan,42,155,32.0,0.0
N3,32,uniform,0,0.8584863751337777,0.8606679333088343,nan,42,155,32.0,0.0
N3,32,random,0,0.8076955008580209,0.79549238420828,0.05716255140840734,42,155,32.0,0.0
N3,32,imse,0,0.9079301598493686,0.9152434068928036,nan,42,155,32.0,0.06493416699959198
N3,32,kernel_quadrature,0,0.9414132908304651,0.9257852492356177,nan,42,155,32.0,0.06314520799787715
N3,32,label_aware,0,0.9425692721232566,0.9690757140348409,nan,42,155,32.0,0.32608395900024334
N3,64,consecutive,0,0.9091354227632462,0.8927093546746804,nan,42,155,64.0,0.0
N3,64,uniform,0,0.9233509679052758,0.964985719854779,nan,42,155,64.0,0.0
N3,64,random,0,0.9013092844683037,0.932161172398903,0.028722441525194452,42,155,64.0,0.0
N3,64,imse,0,0.9287920135790807,0.9760387487550363,nan,42,155,64.0,0.06493416699959198
N3,64,kernel_quadrature,0,0.9658283993041551,0.9745296725912083,nan,42,155,64.0,0.06314520799787715
N3,64,label_aware,0,0.9378287502938211,0.9907250825865127,nan,42,155,64.0,0.16627916599827586
N3,4,consecutive,1,0.6759844201576432,0.1756481770922292,nan,41,156,4.0,0.0
N3,4,uniform,1,0.5917112687329099,0.05313687640345987,nan,41,156,4.0,0.0
N3,4,random,1,0.6108483411968607,0.1951847707505235,0.06107701070442057,41,156,4.0,0.0
N3,4,imse,1,0.5339114200004602,0.5519690697735995,nan,41,156,4.0,0.06518887499987613
N3,4,kernel_quadrature,1,0.5444214883344134,0.5421796690760814,nan,41,156,4.0,0.06330366699694423
N3,4,label_aware,1,0.6609368290836635,0.6172588565982948,nan,41,156,4.0,0.013932917005149648
N3,8,consecutive,1,0.7273111547833458,0.22675778962659407,nan,41,156,8.0,0.0
N3,8,uniform,1,0.5505785646516677,0.45035986996750316,nan,41,156,8.0,0.0
N3,8,random,1,0.6568324681667922,0.3776978422424756,0.07226854548726278,41,156,8.0,0.0
N3,8,imse,1,0.6126109722815929,0.5669346160889649,nan,41,156,8.0,0.06518887499987613
