family,family_title,label,method,objective_F,ceiling_I,relative_efficiency,cost,n_actions,times,widths,segments,runtime_s,n_evaluations,n_candidates,budget
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c1.5,dispersed,0.002353876147938432,0.354783547854293,0.9959288422727287,4.0,4,1.250;3.750;6.250;8.750,0;0;0;0,1;1;1;1,0.0,1,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c1.5,random,0.0023169116932128344,0.34921215005431416,0.9802891211122295,4.0,4,2.955;4.591;6.227;8.682,0;0;0;0,1;1;1;1,0.010286249998898711,20,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c1.5,mutual_information,0.0020012697362511694,0.3016376107394017,0.8467404936515838,4.0,4,0.500;4.591;7.045;9.500,0;0;0;0,1;1;1;1,0.00038745799975004047,42,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c1.5,imse,0.0023634983223970512,0.35623383197204145,1.0,4.0,4,2.136;4.591;6.227;7.864,0;0;0;0,1;1;1;1,0.0005296660019666888,42,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c1.5,linear_target,0.0023634492290923632,0.3562264324761808,0.9999792285426129,4.0,4,2.136;4.591;7.045;8.682,0;0;0;0,1;1;1;1,0.005394082996645011,119,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c1.5,kernel_quadrature,0.0023634983223970512,0.35623383197204145,1.0,4.0,4,2.136;4.591;6.227;7.864,0;0;0;0,1;1;1;1,0.0006265839983825572,42,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c1.5,label_aware_greedy,0.0023634983223970512,0.35623383197204145,1.0,4.0,4,2.136;4.591;6.227;7.864,0;0;0;0,1;1;1;1,0.021797374996822327,42,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c1.5,label_aware,0.0023634983223970512,0.35623383197204145,1.0,4.0,4,2.136;4.591;6.227;7.864,0;0;0;0,1;1;1;1,0.03687745799834374,74,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c1.5,exhaustive,0.0023634983223970512,0.35623383197204145,1.0,4.0,4,2.136;3.773;5.409;7.864,0;0;0;0,1;1;1;1,0.24608275000355206,495,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",two_sided_c1.2,same_time,0.0015127134831884742,0.09501481142101134,0.4035089252991458,4.0,1,5.000,0,4,0.0,1,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",two_sided_c1.2,uniform,0.002331335761469866,0.14643316807636356,0.6218724154156061,4.0,4,0.039;3.346;6.654;9.961,0;0;0;0,1;1;1;1,0.0,1,12,4.0
