repeat,fold,label_model,method,n_windows,width_minutes,total_minutes,n_train,n_test,ceiling_train,ceiling_test
0,4,indicator_linear,uniform,16,15.0,240.0,68,16,0.9993213541531336,0.9999999994563129
0,4,indicator_linear,random,16,15.0,240.0,68,16,0.9987110772513952,0.9999999858940315
0,4,indicator_linear,label_aware,16,15.0,240.0,68,16,0.9997651511184407,0.9999860551828457
0,4,indicator_linear,mutual_information,16,15.0,240.0,68,16,0.9988772713191741,0.9999603501229026
0,4,indicator_linear,imse,16,15.0,240.0,68,16,0.9995406035215372,0.9999346544437154
0,4,indicator_linear,kernel_quadrature,16,15.0,240.0,68,16,0.9996751391235562,0.9991895115843242
0,4,indicator_linear,contiguous,32,15.0,480.0,68,16,0.9912201805158439,0.9824170085773455
0,4,indicator_linear,dispersed,32,15.0,480.0,68,16,0.9999867735950614,0.999999999999633
0,4,indicator_linear,uniform,32,15.0,480.0,68,16,0.9999623919031789,1.0
0,4,indicator_linear,random,32,15.0,480.0,68,16,0.9999502154041688,1.0
0,4,indicator_linear,label_aware,32,15.0,480.0,68,16,0.9999831183881276,0.9999999999954713
0,4,indicator_linear,mutual_information,32,15.0,480.0,68,16,0.9999880781156455,1.0
0,4,indicator_linear,imse,32,15.0,480.0,68,16,0.9999844774304583,1.0
0,4,indicator_linear,kernel_quadrature,32,15.0,480.0,68,16,0.9999904280844878,1.0
1,0,indicator_linear,contiguous,1,15.0,15.0,67,17,0.8496599786609125,0.19889763796362314
1,0,indicator_linear,dispersed,1,15.0,15.0,67,17,0.8496599786609125,0.19889763796362314
1,0,indicator_linear,uniform,1,15.0,15.0,67,17,0.6863459257933864,0.5803472425396995
1,0,indicator_linear,random,1,15.0,15.0,67,17,0.9083905580032611,0.7324139268342952
1,0,indicator_linear,label_aware,1,15.0,15.0,67,17,0.9256524113894384,0.3618123062742524
1,0,indicator_linear,mutual_information,1,15.0,15.0,67,17,0.6863459257933864,0.5803472425396995
1,0,indicator_linear,imse,1,15.0,15.0,67,17,0.9256524113894384,0.3618123062742524
1,0,indicator_linear,kernel_quadrature,1,15.0,15.0,67,17,0.9256524113894384,0.3618123062742524
1,0,indicator_linear,contiguous,2,15.0,30.0,67,17,0.8538178977757896,0.1999866244300173
1,0,indicator_linear,dispersed,2,15.0,30.0,67,17,0.9266733257808736,0.9710241351989796
1,0,indicator_linear,uniform,2,15.0,30.0,67,17,0.8876273752502933,0.966450702333783
1,0,indicator_linear,random,2,15.0,30.0,67,17,0.9532229842977905,0.9064506746168004
1,0,indicator_linear,label_aware,2,15.0,30.0,67,17,0.9643561693149456,0.8166208798672087
1,0,indicator_linear,mutual_information,2,15.0,30.0,67,17,0.8667471136289682,0.9647019259336042
1,0,indicator_linear,imse,2,15.0,30.0,67,17,0.9633721650167629,0.7111844479798617
1,0,indicator_linear,kernel_quadrature,2,15.0,30.0,67,17,0.9643561693149456,0.8166208798672087
1,0,indicator_linear,contiguous,4,15.0,60.0,67,17,0.8580776638298765,0.4183703473735667
1,0,indicator_linear,dispersed,4,15.0,60.0,67,17,0.9889218753407613,0.9904109732548317
1,0,indicator_linear,uniform,4,15.0,60.0,67,17,0.9733699206574952,0.9838387108035871
1,0,indicator_linear,random,4,15.0,60.0,67,17,0.9860796954342754,0.9753807264848443
1,0,indicator_linear,label_aware,4,15.0,60.0,67,17,0.9936567157967015,0.9852245203874075
1,0,indicator_linear,mutual_information,4,15.0,60.0,67,17,0.9635411459928647,0.9854517063228463
1,0,indicator_linear,imse,4,15.0,60.0,67,17,0.9915884742044732,0.9861891345229159
1,0,indicator_linear,kernel_quadrature,4,15.0,60.0,67,17,0.9916530018808398,0.9902967435529124
1,0,indicator_linear,contiguous,8,15.0,120.0,67,17,0.9297385453150933,0.9837288970948377
1,0,indicator_linear,dispersed,8,15.0,120.0,67,17,0.997573935788497,0.996670016335001
1,0,indicator_linear,uniform,8,15.0,120.0,67,17,0.9935998221008358,0.9965075600539036
1,0,indicator_linear,random,8,15.0,120.0,67,17,0.9956346966961901,0.995319230882783
1,0,indicator_linear,label_aware,8,15.0,120.0,67,17,0.9984463100697999,0.9961305108470527
1,0,indicator_linear,mutual_information,8,15.0,120.0,67,17,0.9936851518036456,0.9973429233044386
1,0,indicator_linear,imse,8,15.0,120.0,67,17,0.9974239381561669,0.9956071264269587
1,0,indicator_linear,kernel_quadrature,8,15.0,120.0,67,17,0.9983970674885163,0.9947582322503465
1,0,indicator_linear,contiguous,16,15.0,240.0,67,17,0.9599199941688338,0.9999999634172814
1,0,indicator_linear,dispersed,16,15.0,240.0,67,17,0.9995022596686376,0.9999999915457698
1,0,indicator_linear,uniform,16,15.0,240.0,67,17,0.9996813887115376,0.9999999637359082
1,0,indicator_linear,random,16,15.0,240.0,67,17,0.9990023518777164,0.9999999992564149
1,0,indicator_linear,label_aware,16,15.0,240.0,67,17,0.9996632888958412,0.9995792590320446
