cohort,label_model,p,method,n_windows,width_minutes,total_minutes,resolution_limited,ceiling
all,indicator_linear,128,kernel_quadrature,32,5.0,160.0,1,0.9999567543821161
all,indicator_linear,128,contiguous,1,15.0,15.0,0,0.7222479045122929
all,indicator_linear,128,contiguous_block,1,15.0,15.0,0,0.7222479045122929
all,indicator_linear,128,dispersed,1,15.0,15.0,0,0.7222479045122929
all,indicator_linear,128,uniform,1,15.0,15.0,0,0.6548982699905861
all,indicator_linear,128,random,1,15.0,15.0,0,0.8666681310798977
all,indicator_linear,128,label_aware,1,15.0,15.0,0,0.8806701934757338
all,indicator_linear,128,mutual_information,1,15.0,15.0,0,0.6548982699905861
all,indicator_linear,128,imse,1,15.0,15.0,0,0.8806701934757338
all,indicator_linear,128,kernel_quadrature,1,15.0,15.0,0,0.8806701934757338
all,indicator_linear,128,contiguous,2,15.0,30.0,0,0.7285312124617787
all,indicator_linear,128,contiguous_block,2,15.0,30.0,0,0.7222479045122929
all,indicator_linear,128,dispersed,2,15.0,30.0,0,0.9301603879408514
all,indicator_linear,128,uniform,2,15.0,30.0,0,0.8970531377530013
all,indicator_linear,128,random,2,15.0,30.0,0,0.9489996635874336
all,indicator_linear,128,label_aware,2,15.0,30.0,0,0.9584488715537526
all,indicator_linear,128,mutual_information,2,15.0,30.0,0,0.8666107134235588
all,indicator_linear,128,imse,2,15.0,30.0,0,0.9520698353370676
all,indicator_linear,128,kernel_quadrature,2,15.0,30.0,0,0.9584488715537526
all,indicator_linear,128,contiguous,4,15.0,60.0,0,0.757173480769102
all,indicator_linear,128,contiguous_block,4,15.0,60.0,0,0.7406614709106181
all,indicator_linear,128,dispersed,4,15.0,60.0,0,0.9867646912267127
all,indicator_linear,128,uniform,4,15.0,60.0,0,0.9729287727225822
all,indicator_linear,128,random,4,15.0,60.0,0,0.9808504694206464
all,indicator_linear,128,label_aware,4,15.0,60.0,0,0.9896971024710667
all,indicator_linear,128,mutual_information,4,15.0,60.0,0,0.9769635575926293
all,indicator_linear,128,imse,4,15.0,60.0,0,0.985772572875701
all,indicator_linear,128,kernel_quadrature,4,15.0,60.0,0,0.9896189575262421
all,indicator_linear,128,contiguous,8,15.0,120.0,0,0.8304083436565974
all,indicator_linear,128,contiguous_block,8,15.0,120.0,0,0.7684373384838739
all,indicator_linear,128,dispersed,8,15.0,120.0,0,0.9963370932061213
all,indicator_linear,128,uniform,8,15.0,120.0,0,0.9922894002923867
all,indicator_linear,128,random,8,15.0,120.0,0,0.9937615182076633
all,indicator_linear,128,label_aware,8,15.0,120.0,0,0.9974757453140768
all,indicator_linear,128,mutual_information,8,15.0,120.0,0,0.9917751582775534
all,indicator_linear,128,imse,8,15.0,120.0,0,0.9955582156547481
all,indicator_linear,128,kernel_quadrature,8,15.0,120.0,0,0.9967627947607018
all,indicator_linear,128,contiguous,16,15.0,240.0,0,0.9219147926435358
all,indicator_linear,128,contiguous_block,16,15.0,240.0,0,0.8350362274537786
all,indicator_linear,128,dispersed,16,15.0,240.0,0,0.9993829371909584
all,indicator_linear,128,uniform,16,15.0,240.0,0,0.999172307929376
all,indicator_linear,128,random,16,15.0,240.0,0,0.9988604912474078
all,indicator_linear,128,label_aware,16,15.0,240.0,0,0.9997055273951235
all,indicator_linear,128,mutual_information,16,15.0,240.0,0,0.9984201132533183
all,indicator_linear,128,imse,16,15.0,240.0,0,0.9994852170574732
all,indicator_linear,128,kernel_quadrature,16,15.0,240.0,0,0.9994202441851102
all,indicator_linear,128,contiguous,32,15.0,480.0,0,0.9857312224195018
all,indicator_linear,128,contiguous_block,32,15.0,480.0,0,0.9251295557443788
all,indicator_linear,128,dispersed,32,15.0,480.0,0,0.9999801913687911
all,indicator_linear,128,uniform,32,15.0,480.0,0,0.9998032863155809
all,indicator_linear,128,random,32,15.0,480.0,0,0.9999003119633202
all,indicator_linear,128,label_aware,32,15.0,480.0,0,0.9999652650526943
all,indicator_linear,128,mutual_information,32,15.0,480.0,0,0.9999324254549921
all,indicator_linear,128,imse,32,15.0,480.0,0,0.9999285682261181
all,indicator_linear,128,kernel_quadrature,32,15.0,480.0,0,0.999950330495781
mixed,indicator_linear,128,contiguous,1,1.0,1.0,1,0.25109498404442
mixed,indicator_linear,128,contiguous_block,1,1.0,1.0,1,0.25109498404442
mixed,indicator_linear,128,dispersed,1,1.0,1.0,1,0.25109498404442
mixed,indicator_linear,128,uniform,1,1.0,1.0,1,0.2155158471218842
mixed,indicator_linear,128,random,1,1.0,1.0,1,0.5740735655745943
mixed,indicator_linear,128,label_aware,1,1.0,1.0,1,0.6405824927916873
mixed,indicator_linear,128,mutual_information,1,1.0,1.0,1,0.2155158471218842
mixed,indicator_linear,128,imse,1,1.0,1.0,1,0.6041303971779987
mixed,indicator_linear,128,kernel_quadrature,1,1.0,1.0,1,0.6405824927916873
mixed,indicator_linear,128,contiguous,2,1.0,2.0,1,0.2548072977048105
mixed,indicator_linear,128,contiguous_block,2,1.0,2.0,1,0.25109498404442
mixed,indicator_linear,128,dispersed,2,1.0,2.0,1,0.7605136602803901
mixed,indicator_linear,128,uniform,2,1.0,2.0,1,0.6211782296772821
mixed,indicator_linear,128,random,2,1.0,2.0,1,0.7975267645119715
